year_month,date,code,close,peTTM,turn,tradestatus,pctChg
2015-01,2015-01-30,sh.600028,6.0300,10.685426,0.541621,1,-2.110400
2015-02,2015-02-27,sh.600028,6.3200,11.463565,0.807344,1,3.099500
2015-03,2015-03-31,sh.600028,6.4100,16.362354,0.867106,1,-1.232700
2015-04,2015-04-30,sh.600028,8.1200,27.585673,0.966630,1,-2.286400
2015-05,2015-05-29,sh.600028,7.2100,24.494175,0.695188,1,-1.771100
2015-06,2015-06-30,sh.600028,7.0600,23.984588,0.697680,1,4.592600
2015-07,2015-07-31,sh.600028,6.0000,20.383502,0.285269,1,-2.597400
2015-08,2015-08-31,sh.600028,4.9500,14.824313,0.277302,1,-1.590500
2015-09,2015-09-30,sh.600028,4.7400,14.195402,0.082636,1,0.423700
2015-10,2015-10-30,sh.600028,5.0300,27.544809,0.197302,1,-0.789000
2015-11,2015-11-30,sh.600028,4.9100,26.887676,0.167765,1,0.204100
2015-12,2015-12-31,sh.600028,4.9600,27.161482,0.101269,1,-0.201200
2016-01,2016-01-29,sh.600028,4.3800,23.985341,0.148587,1,1.388900
2016-02,2016-02-29,sh.600028,4.3500,23.821058,0.164431,1,-0.229400
2016-03,2016-03-31,sh.600028,4.7600,17.893593,0.242766,1,0.634300
2016-04,2016-04-29,sh.600028,4.8700,16.062789,0.107340,1,-1.217000
2016-05,2016-05-31,sh.600028,4.8300,15.930856,0.136508,1,1.684200
2016-06,2016-06-30,sh.600028,4.7200,15.568042,0.064839,1,0.854700
2016-07,2016-07-29,sh.600028,4.7900,15.798924,0.048334,1,-0.622400
2016-08,2016-08-31,sh.600028,5.0000,22.419764,0.078527,1,0.000000
2016-09,2016-09-30,sh.600028,4.8600,21.792011,0.029387,1,0.206190
2016-10,2016-10-31,sh.600028,5.0100,17.096019,0.047746,1,0.000000
2016-11,2016-11-30,sh.600028,5.1200,17.471381,0.123539,1,-2.103253
2016-12,2016-12-30,sh.600028,5.4100,18.460971,0.092041,1,0.000000
2017-01,2017-01-26,sh.600028,6.0300,20.576646,0.092416,1,-0.330578
2017-02,2017-02-28,sh.600028,5.7500,19.621180,0.064454,1,0.349040
2017-03,2017-03-31,sh.600028,5.7400,14.972181,0.115285,1,1.234563
2017-04,2017-04-28,sh.600028,5.7800,12.307490,0.065848,1,0.000000
2017-05,2017-05-31,sh.600028,6.2700,13.350859,0.205307,1,2.117266
2017-06,2017-06-30,sh.600028,5.9300,12.626889,0.081466,1,0.168915
2017-07,2017-07-31,sh.600028,6.1100,13.010167,0.126566,1,0.000000
2017-08,2017-08-31,sh.600028,6.0100,13.410704,0.118217,1,-0.825078
2017-09,2017-09-29,sh.600028,5.9000,13.165250,0.043468,1,0.000000
2017-10,2017-10-31,sh.600028,5.9700,12.994537,0.120875,1,-0.333890
2017-11,2017-11-30,sh.600028,6.0300,13.125135,0.085667,1,-0.165559
2017-12,2017-12-29,sh.600028,6.1300,13.342799,0.073676,1,-0.809057
2018-01,2018-01-31,sh.600028,7.0800,15.410606,0.271170,1,-1.803053
2018-02,2018-02-28,sh.600028,6.4100,13.952258,0.175014,1,-2.286587
2018-03,2018-03-30,sh.600028,6.4800,15.347355,0.144241,1,-2.114802
2018-04,2018-04-27,sh.600028,6.9100,15.709067,0.162453,1,2.370368
2018-05,2018-05-31,sh.600028,7.0500,16.027340,0.167600,1,3.221087
2018-06,2018-06-29,sh.600028,6.4900,14.754246,0.084171,1,0.620155
2018-07,2018-07-31,sh.600028,6.7600,15.368060,0.115365,1,2.424247
2018-08,2018-08-31,sh.600028,6.8400,12.618695,0.130316,1,0.588235
2018-09,2018-09-28,sh.600028,7.1200,13.135249,0.105769,1,1.136363
2018-10,2018-10-31,sh.600028,6.3100,10.504625,0.120041,1,0.000000
2018-11,2018-11-30,sh.600028,5.9000,9.822074,0.073053,1,1.200689
2018-12,2018-12-28,sh.600028,5.0500,8.407029,0.337120,1,-3.809520
2019-01,2019-01-31,sh.600028,5.7300,11.120092,0.113257,1,1.776197
2019-02,2019-02-28,sh.600028,6.0100,11.663482,0.123090,1,-0.496684
2019-03,2019-03-29,sh.600028,5.7400,11.015371,0.207360,1,1.773048
2019-04,2019-04-30,sh.600028,5.6800,11.639492,0.095241,1,0.353357
2019-05,2019-05-31,sh.600028,5.4300,11.127190,0.077153,1,-0.731261
2019-06,2019-06-28,sh.600028,5.4700,11.209159,0.061722,1,0.736648
2019-07,2019-07-31,sh.600028,5.2700,10.799317,0.041700,1,0.190100
